HCUPnet - Hospital Inpatient State Statistics,,,,,,,
,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: All Stays | Principal or All-Listed: Principal | Outcome and Measures: Number, Aggregate charges, Aggregate costs, Age (mean) | Patient Characteristics: Age groups, Sex, Payer, Location of patient's residence | Hospital/Facility Characteristics: Hospital ownership, Hospital bedsize | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,
,,,,,,,
2016  Arizona,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,Medium and small metro,213679,57.7862213508,48.22781421,7523935616.11,1921920451.36313,
,Micropolitan and noncore (rural),153503,41.5125414103,52.8355409323,4598100292.47,1397157723.9662,
,Missing,41,0.0110878237,30.2195121951,1361452,433840.595974236,
Owner,Government,36567,9.8889865459,45.2920211166,1183453506.02,441378666.034631,
,"Private, Not For Profit",261244,70.6494489893,50.9174167219,7708248923.27,2313623840.29866,
,"Private, For Profit",71964,19.4615644649,49.6553540407,3324459134.29,591428073.61134,
Bedsize,Small,56216,15.2027584342,57.3914497678,1643105104.81,533800376.45725,
,Medium,146944,39.7387600568,47.3111956655,5185567681.46999,1365660960.91646,
,Large,166615,45.058481509,50.1336842863,5387488777.3,1446969242.57084,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  California,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,3701099,100,46.3111229846,277375190318.029,59794311084.455,
Age group,<1,531378,14.3573030605,0,17373605227.4318,4068923617.46901,
,1-17,146003,3.9448552984,8.9302274611,10293068993.3901,2629477390.19119,
,18-44,984834,26.6092314742,31.0647723373,52416159699.9106,11553289346.2113,
,45-64,854283,23.0818737894,55.5786993303,82153718576.1591,17543645440.0857,
,65-84,893871,24.1515020268,73.853473264,91370447330.9842,19074871373.9496,
,85+,289753,7.828836786,89.6070273647,23673099533.7784,4900933498.2101,
,Missing,977,0.0263975646,---,95090956.2199999,23170418.3151333,
Sex,Male,1600863,43.2537200437,47.4704457292,139287479335.716,30019883214.2982,
,Female,2097081,56.6610350061,45.4230844626,137823126046.764,29715105902.5513,
,Missing,3155,0.0852449502,48.4000635526,264584935.37,59321967.6147188,
Payer,Medicare,1247205,33.698233957,73.8859190041,120447739735.61,25130042732.9995,
,Medicaid,1193956,32.259499138,31.0849876372,70890157475.3666,15856723321.5242,
,Private insurance,1072219,28.9702869337,33.5123359698,71137195802.8154,15323624607.9567,
,Uninsured,83042,2.2437119353,29.3734446332,3915792262.33993,872908332.564621,
,Other,104032,2.81084078,35.7913378248,10945200112.72,2601122153.00466,
,Missing,645,0.0174272561,47.5674418605,39104929.1,9889936.39747861,
Patient residence,Large central metro,2299977,62.1430823655,46.4583697203,171012663880.31,36562632072.8228,
,Large fringe metro (suburbs),461769,12.4765373744,46.1064910084,36187592246.0178,7875540894.13813,
,Medium and small metro,814680,22.0118402669,45.5089126757,60322413116.916,13000383803.3691,
,Micropolitan and noncore (rural),88010,2.3779423355,52.1648010728,7073440039.20003,1736968471.71448,
,Missing,36663,0.9905976576,43.4234032685,2779081035.53,618785842.400628,
Owner,Government,527509,14.2527665431,44.1466583748,33841110787.08,10081649352.6016,
,"Private, Not For Profit",2617180,70.713590747,45.9991209094,200483019071.212,42831315465.9141,
,"Private, For Profit",556410,15.0336427099,49.8302391082,43051060459.84,6881346265.92641,
Bedsize,Small,475948,12.8596397989,47.5427389136,29924352144.7326,7330258125.40391,
,Medium,871454,23.5458170668,47.7297584534,58869371231.8954,12993761374.8592,
,Large,2353697,63.5945431344,45.5367458156,188581466941.371,39470291584.1858,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Colorado,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,471779,100,46.2200542281,27914460952.7417,6047202911.81162,
Age group,<1,61550,13.0463628097,0,1899232591.59998,414216430.185913,
,1-17,20774,4.4033329165,8.978578993,1024998719.1,284534055.01909,
,18-44,129958,27.5463723481,31.0213299681,5587776379.12,1209363080.32991,
,45-64,109975,23.3107026807,55.7188360991,8633392248.67,1819019335.73162,
,65-84,119286,25.2842962489,73.4676659457,9121266297.05,1958912105.72297,
,85+,30168,6.3945194678,89.2725404402,1640693507.2,359840526.604585,
,Missing,68,0.0144135284,---,7101210,1317378.21757066,
Sex,Male,202831,42.9927995947,47.916617357,13978745577.4498,3027231297.13121,
,Female,268324,56.8749350861,44.9073200914,13908307015.2898,3012042293.55677,
,Missing,624,0.1322653191,59.2893890675,27408360,7929321.12375551,
Payer,Medicare,150836,31.9717494844,72.6490565037,10974942007.58,2338030799.53056,
,Medicaid,121325,25.7164901363,29.0164396663,6022614123.93976,1374321683.24732,
,Private insurance,173627,36.8026130879,36.4289902655,9446768363.65999,2013511254.69059,
,Uninsured,10099,2.1406209263,39.4521239727,492948552.81,110608003.058765,
,Other,15175,3.2165484263,37.6052336695,954380397.01,202826318.695131,
,Missing,717,0.1519779388,45.4630404463,22807507.74,7904852.58934825,
Patient residence,Large central metro,64059,13.5781796138,43.5791059691,3772834460.99,778477101.714088,
,Large fringe metro (suburbs),176715,37.4571568467,44.9544579895,11639399745.5599,2179624507.41606,
,Medium and small metro,164343,34.8347425383,47.3304406565,8632085038.22985,2061744031.44316,
,Micropolitan and noncore (rural),64526,13.6771666395,49.4422898065,3686478777.07993,994383436.875758,
,Missing,2136,0.4527543617,47.3597189696,183662930.88,32973834.3626311,
Owner,Government,64497,13.6710196935,45.3351116625,4136112426.21998,988073810.467575,
,"Private, Not For Profit",313415,66.4325881398,46.6518234643,15656179047.6997,4004429436.2649,
,"Private, For Profit",93867,19.8963921667,45.3862260773,8122169478.82,1054699665.07917,
Bedsize,Small,63740,13.5105632086,49.976275282,2978310671.04994,776254107.521647,
,Medium,122663,26.0000975033,46.5527590255,6443395499.6398,1487153758.80429,
,Large,285376,60.4893392881,45.2380453373,18492754782.05,3783795045.48577,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Colorado Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Florida,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,2743891,100,52.2147652695,161551443416.24,28027329556.5823,
Age group,<1,246610,8.9876019128,0,5460065939.28999,1178047867.83702,
,1-17,95513,3.4809327338,9.474322867,3939134886.74,925826016.909416,
,18-44,619520,22.578156348,31.3183464618,26609643697.96,4641558286.89519,
,45-64,692850,25.2506386004,55.4941589089,48769854753.39,8398508786.14316,
,65-84,836267,30.4774132792,74.0226040248,61955587053.94,10447911290.6555,
,85+,252705,9.2097317277,89.3940721395,14776972498.92,2426121383.60991,
,Missing,426,0.0155253981,---,40184586,9355924.53184048,
Sex,Male,1232715,44.925800624,53.2037181731,80443215442.06,14019008144.5802,
,Female,1510362,55.0445334745,51.4041276312,81057705140.18,13997616148.8484,
,Missing,814,0.0296659015,58.7555282555,50522834,10705263.1534402,
Payer,Medicare,1238284,45.1287605812,73.0848333263,86265711638.39,14457893964.2801,
,Medicaid,542203,19.7603694899,26.1582556069,23920492090.8,4448841044.01025,
,Private insurance,651827,23.7555719232,38.8271224772,35759597877.61,6505295778.70969,
,Uninsured,216510,7.8906195618,40.6251870808,10204992190.02,1698598617.35992,
,Other,95067,3.4646784439,47.10383474,5400649619.42,916700152.222291,
Patient residence,Large central metro,948315,34.5609574141,49.8326460227,56084763488.12,10056369566.9678,
,Large fringe metro (suburbs),746053,27.1896004615,52.1835333074,45626566350.51,7466214049.84316,
,Medium and small metro,900706,32.8258666252,54.7732903254,51081767396.55,8931854098.26589,
,Micropolitan and noncore (rural),115390,4.205341976,53.2824713316,6777831261.06,1214737676.41714,
,Missing,33427,1.2182335231,47.8592206859,1980514920,358154165.087997,
Owner,Government,389209,14.1845649117,48.1766879711,18894101751.92,4410628480.53013,
,"Private, Not For Profit",1361370,49.614580171,50.8869664818,70299325013.19,15235702645.6076,
,"Private, For Profit",993312,36.2008549173,55.6162327928,72358016651.13,8380998430.44454,
Bedsize,Small,155670,5.6733303182,58.0943418044,8470595525.93,1952364943.50468,
,Medium,807818,29.4406009568,53.4811300898,51614541545.98,7469901043.43038,
,Large,1780403,64.886068725,51.1260175641,101466306344.33,18605063569.6469,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Florida Agency for Health Care Administration and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Hawaii,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,118208,100,47.8913199821,4482438291.19,1781110387.46928,
Age group,<1,16598,14.0413508392,0,367105038.27,132101989.500388,
,1-17,3621,3.0632444505,9.1455399061,157322712,54095452.8882077,
,18-44,30088,25.4534380076,31.058927147,772663266.49,311760960.631781,
,45-64,26885,22.7438075257,55.8031244188,1281518098,515119490.858863,
,65-84,30371,25.6928465079,73.6763359784,1490082542,600177957.112731,
,85+,10628,8.9909312398,89.8395747083,412279020.43,167298588.419866,
,Missing,17,0.0143814293,---,1467614,555948.057426365,
Sex,Male,53991,45.6745736329,49.946736573,2360589828.24,936217917.892054,
,Female,64201,54.3118909042,46.1586186486,2121154076.95,844631867.212823,
,Missing,16,0.0135354629,66.0625,694386,260602.364375857,
Payer,Medicare,42564,36.0077152139,74.567125605,1985160185.76,799351896.812521,
,Medicaid,31339,26.5117420141,29.2570297788,1032753926.64,404075430.186566,
,Private insurance,38217,32.3302991337,35.546139754,1275182823.79,501333784.680546,
,Uninsured,1811,1.5320452084,32.5113197129,48255333,19681548.0616509,
,Other,4277,3.6181984299,35.73743278,141086022,56667727.7279817,
Patient residence,Large central metro,1078,0.9119518138,56.7847866419,50400398,21593677.8749594,
,Large fringe metro (suburbs),657,0.5557999459,58.8919330289,26731870,11806112.4009017,
,Medium and small metro,91396,77.3179480238,47.8358355949,3565253587.7,1373785035.41487,
,Micropolitan and noncore (rural),24078,20.3691797509,47.2875005193,789364435.49,354097193.539081,
,Missing,999,0.8451204656,50.6856856857,50688000,19828368.2394749,
Owner,Government,13650,11.5474417975,46.8647519965,294955217.49,170421645.904336,
,"Private, Not For Profit",104558,88.4525582025,48.0253486637,4187483073.7,1610688741.56494,
Bedsize,Small,50170,42.442135896,42.89135896,1878649671.54,701573878.9982,
,Medium,8047,6.8074918787,59.1045239871,351445385.16,124478386.716123,
,Large,59991,50.7503722252,50.5677540882,2252343234.49,955058121.754945,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Hawaii Health Information Corporation and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Illinois,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,1419839,100,49.9716893948,60999167986.3,16110238902.3714,
Age group,<1,159285,11.2185254807,0,3262747374.53,854733974.555173,
,1-17,47505,3.3458018832,9.762277655,1917123680,510733640.089994,
,18-44,342984,24.1565416924,31.1921518205,10183822810.18,2712857339.966,
,45-64,353300,24.8831029434,55.6227313898,18724606211.69,4952674377.87143,
,65-84,391866,27.5993264025,73.9180918988,21710106314.3199,5695462786.51502,
,85+,124740,8.7855031451,89.499310566,5187645629.58,1380602116.13014,
,Missing,159,0.0111984528,---,13115966,3174667.24366889,
Sex,Male,614463,43.2769490062,50.7415580737,29613217067.33,7799969257.12764,
,Female,804800,56.6824830139,49.3793682353,31353789729.97,8302262752.44316,
,Missing,576,0.0405679799,56.3454861111,32161189,8006892.80065163,
Payer,Medicare,557290,39.2502248494,73.2052375731,28689146639.43,7521324920.18703,
,Medicaid,296411,20.8763810545,30.5173774099,10619516106,2784914736.24444,
,Private insurance,482392,33.9751197143,37.0837006506,19036666107.8699,5070875562.51336,
,Uninsured,48882,3.4427847101,35.8082368346,1447649986,430272988.579403,
,Other,34864,2.4554896717,42.1073375022,1206189147,302850694.847216,
Patient residence,Large central metro,604847,42.5996891197,48.9345451779,26262566505.34,7087213148.05224,
,Large fringe metro (suburbs),408043,28.738680935,49.7816861883,18581119281.53,4719200619.57465,
,Medium and small metro,233121,16.4188334029,50.2147566935,9698980012,2421255125.87995,
,Micropolitan and noncore (rural),172369,12.1400384128,53.7942422168,6384665753.43,1863291300.49718,
,Missing,1459,0.1027581296,42.5915010281,71836434,19278708.3673652,
Owner,Government,51984,3.6612601851,48.1715467487,1716812332,825529469.349545,
,"Private, Not For Profit",1284169,90.4446912643,50.022332311,55050749752.3,14442762022.5543,
,"Private, For Profit",83686,5.8940485506,50.31278828,4231605902,841947410.466863,
Bedsize,Small,242875,17.1058127013,52.914010903,8630003529.34,2488690689.93484,
,Medium,339031,23.8781298443,47.9615694349,13771878412.53,3518631040.28203,
,Large,837933,59.0160574544,49.9321064059,38597286044.43,10102917172.1544,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Illinois Department of Public Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Indiana,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,752700,100,50.4020615269,29802114059.35,8288228245.96268,
Age group,<1,84940,11.2847083832,0,1436928660.93,396278910.507929,
,1-17,20612,2.7384083964,10.60770425,757199411.169999,192724732.24299,
,18-44,175921,23.3719941544,30.5871271764,5006887595.74999,1404921402.05361,
,45-64,187124,24.8603693371,55.7965359868,9625084656.88998,2646970342.74508,
,65-84,223568,29.7021389664,73.7872951406,10896767066.2399,3040229596.49247,
,85+,60384,8.0223196493,89.3135267621,2072457657.56999,605213294.61881,
,Missing,151,0.0200611133,---,6789010.8,1889967.30155124,
Sex,Male,321684,42.737345556,51.5640115921,14346793182.87,3948485939.07624,
,Female,430498,57.1938355254,49.5252196014,15430856185.56,4333500020.96992,
,Missing,518,0.0688189186,57.71875,24464690.92,6242285.91644365,
Payer,Medicare,322180,42.8032416633,71.9509514201,14856089992.9199,4164017070.34176,
,Medicaid,137969,18.3298791019,26.0518840222,4242362723.14,1172152854.20682,
,Private insurance,210281,27.9368938488,36.5537232145,7738206452.32001,2134299320.61607,
,Uninsured,22938,3.0474292547,35.0008284643,700090736.4,200819956.438949,
,Other,59332,7.8825561313,45.0248200044,2265364154.56998,616939044.358848,
Patient residence,Large central metro,116380,15.4616713166,46.8463369774,5162587884.96,1504403380.95953,
,Large fringe metro (suburbs),216608,28.7774677826,51.6036478655,7861071799.09003,2291760010.9988,
,Medium and small metro,241213,32.0463664142,49.468345455,9852476012.28999,2570980333.74362,
,Micropolitan and noncore (rural),177852,23.6285372658,52.5590741147,6900546196.70998,1914316314.16374,
,Missing,647,0.0859572207,42.8547140649,25432166.3,6768206.09691295,
Owner,Government,84497,11.2258535937,49.1601477413,2122403221.23,850924264.577663,
,"Private, Not For Profit",563405,74.8512023382,50.4608888463,22138484720.1,6324236603.06079,
,"Private, For Profit",104798,13.922944068,51.0869876414,5541226118.02,1113067378.32411,
Bedsize,Small,161096,21.402417962,50.2966998175,5462753046.75,1632458360.35508,
,Medium,169327,22.4959479208,48.4616302492,5862165845.64001,1824888428.17752,
,Large,422277,56.1016341172,51.2203420342,18477195166.96,4830881457.43008,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Indiana Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Iowa,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,312732,100,50.6700920471,9622103035.59,3222017137.93573,
Age group,<1,42068,13.4517734034,0,656531032,191310537.356606,
,1-17,8523,2.72533671,8.48468849,278327404,78243289.1676915,
,18-44,67345,21.5344128519,30.3970153686,1475876535.26,490978996.054381,
,45-64,68612,21.9395520765,56.1854923337,2846848448,921048587.292346,
,65-84,92927,29.7145798959,74.2062586762,3517770636.15,1203140111.49974,
,85+,33191,10.6132407301,89.5618993101,842827926.18,336211627.188314,
,Missing,66,0.0211043321,---,3921054,1083989.37663846,
Sex,Male,132218,42.2783725362,52.1594885955,4698806941.15,1532136781.95226,
,Female,180442,57.698604556,49.5753038928,4920864508.44,1689051089.11377,
,Missing,72,0.0230229078,59.4722222222,2431586,829266.869726787,
Payer,Medicare,140505,44.9282452707,74.9195421934,4887946322.41,1712262067.55868,
,Medicaid,59666,19.0789557832,25.3373184882,1570751375,496087741.157178,
,Private insurance,103819,33.1974342248,33.9364684799,2940115928,941634011.291287,
,Uninsured,5491,1.7558164818,25.9450009106,96482258.18,33627581.3882651,
,Other,3251,1.0395482394,43.4116923077,126807152,38405736.5403422,
Patient residence,Large central metro,584,0.1867413632,51.0821917808,24221503,7322308.20355306,
,Large fringe metro (suburbs),639,0.2043283067,55.9843505477,24375001,7892977.85487372,
,Medium and small metro,177425,56.7338807669,47.9639764579,5656521609,1707542355.14698,
,Micropolitan and noncore (rural),134054,42.865456685,54.2252646815,3916290448.59,1499043983.21075,
,Missing,30,0.0095928782,46.9666666667,694474,215513.519579556,
Owner,Government,77620,24.8199736516,51.5900192038,2639848574.2,1020379310.54721,
,"Private, Not For Profit",231522,74.0320785849,50.3716564142,6902844893.39,2171729313.9303,
,"Private, For Profit",*,*,*,*,*,
Bedsize,Small,94927,30.3541051124,54.2546222648,1851606815.59,927030999.098639,
,Medium,70960,22.6903546807,50.4622181511,1809001363,626785907.658653,
,Large,146845,46.955540207,48.4525871172,5961494857,1668200231.17841,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Iowa Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Kansas,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,315140,100,49.450197079,12768018756.7699,2963134852.13538,
Age group,<1,39027,12.3840198007,0,768795451.13,142282300.361059,
